date,new_cases,people_fully_vaccinated
05.01.21,179797,1313
05.01.21,282876,1326
05.01.21,497416,184644
05.01.21,255690,183307
05.01.21,743971,184644
05.01.21,28,2
05.01.21,2512,1
05.01.21,229830,183301
06.01.21,2997,99
06.01.21,8308,448
06.01.21,4808,19
06.01.21,17332,4
06.01.21,26663,1257
06.01.21,2216,4
06.01.21,717,11
06.01.21,7832,46
06.01.21,7309,11
06.01.21,20326,13
06.01.21,1229,6
06.01.21,787,11
06.01.21,87739,14
06.01.21,168382,1442
06.01.21,275497,1472
06.01.21,519698,357182
06.01.21,291893,355696
06.01.21,793834,357182
06.01.21,31,3
06.01.21,3354,2
06.01.21,260228,355248
07.01.21,2923,120
07.01.21,8540,1424
07.01.21,3975,25
07.01.21,17773,4
07.01.21,45333,1448
07.01.21,1842,6
07.01.21,1084,12
07.01.21,6503,51
07.01.21,7600,17
07.01.21,18416,15
07.01.21,1374,6
07.01.21,825,12
07.01.21,87805,21
07.01.21,225554,1664
07.01.21,321707,1701
07.01.21,598858,637886
07.01.21,318706,636164
07.01.21,892208,637886
07.01.21,33,4
07.01.21,2821,2
07.01.21,287874,634740
08.01.21,2048,167
08.01.21,9395,2694
08.01.21,3219,43
08.01.21,14861,5
08.01.21,19077,1552
08.01.21,1660,7
08.01.21,786,14
08.01.21,8227,56
08.01.21,6309,21
08.01.21,17529,15
08.01.21,1237,10
08.01.21,684,22
08.01.21,67522,28
08.01.21,170846,1829
08.01.21,279925,1894
08.01.21,575599,1001397
08.01.21,336923,999475
08.01.21,825544,1001397
08.01.21,23,7
08.01.21,2084,3
08.01.21,304501,996781
09.01.21,1991,182
09.01.21,7274,3936
09.01.21,0,48
09.01.21,13115,6
09.01.21,22824,1703
09.01.21,1743,9
09.01.21,552,14
09.01.21,4843,59
09.01.21,8077,46
09.01.21,19976,15
09.01.21,1170,10
09.01.21,443,24
09.01.21,104993,55
09.01.21,138616,2001
09.01.21,231724,2073
09.01.21,491163,1131158
09.01.21,296214,1129030
09.01.21,755836,1131158
09.01.21,29,9
09.01.21,1889,3
09.01.21,263448,1125094
